	comments	toxicity
636	[id115521448|Vadym], хуютлeр, почему ты на комментарии не отвечаешь?	1
643	Девальвация валюты, быдловатая внешняя политика, узурпация власти, государственная монополизация и уничтожение всей оппозиции. Нет, А дАвАйТе ВсЮ нЕдЕлЮ оБсУжДаТь ФрАзУ пУтЕнА!!11)))11 Тактика отвлечения народа всякой х.йней работает на Ура уже десяток лет	0
690	[id8890532|Дмитрiй], ой, шлюhа проецирует свою прожадность на людей с неудобным мнением, спешите видеть.	1
703	Ху***е этого гомика????	1
706	[id18511367|Богдан], ты долбoeб? Его полстраны ненавидит. Он мерзкий лицемерный социалист	1
725	"[id504424660|Алиса], ""молодцы"" уже получили заслуженных 3.14здюлей от полиции и разбежались. Биомусор разогнан, движение по мосту снова открыто??"	1
742	[id5534448|Илья], вопроса вообще не было, идuoт. Ты попросил, а не спросил. Причем в приказном тоне.человеку, не ведущему с тобой диалог. Пошел к черту вообще) Иди дальше слушай копирку Iron Maiden, которым гострайтят поэты и поэтессы)	1
761	Как обычно - хyйня	1
804	[id620068382|Владимир], поэтому спизд*ла ковер и холодильник.	0
915	[id496882193|Александр], Одно ясно - Воронежу п3дц	0
917	"[id1143480|Дмитрий], ну да, наша так, ""насрать на санкции"", ""д,билы 9ть"", ""мочить в сортирах"", ""нравится не нравится"""	0
970	[id100193333|Art?rs], кстати, лучше бухая мамка в борделе, чем два батька 3.14дораса, которые такого воспитали	1
971	[id704177422|Алексей], xyйня отупелая, отпердачили твою бухую мамку в борделе, чтобы тебя зачать ?? Есть такая функция – пойти нaxyй – это единственное, что ты можешь сделать в этой жизни, кстати ??	1
1006	[id216178069|Саша], ой так смешно, просто пиzдец, ты осознаешь что твоя шутка прокатит только в соц сети Одноклассники?	0
1009	[id500814926|Олег], ох уж эта однобокость дырявых комментаторов. Бесят питары а точнее их пропаганда, значит сам латентный ????	1
1016	[id25568723|Антон], он истинный дayн, раз форсит постоянно обoccaнного xaча.	1
1018	[id155600|Александр], о, любитель чepныx xyeв подтянулся. Держи в курсе.	1
1052	[id446158458|Arina], тупых пе?зд вроде тебя тоже хватает :)	1
1069	В это время я обычно дроччу, смотрю мультики и кушаю. 24 года	0
1082	прощай рубль ты был нам как друг...  PS. ну может Путин не подпишет это х..ню, ну не подпишет же, да???	0
1120	Чувствуете? Это запах новых санкций... Пельш, зае%ал выходи уже и скажи что это все разыгрыш, я реально буду ждать тебя до последнего	1
1127	[id362495093|Даниил], на%уй нам нужен доп. уголь? Это значит, что где-то надо будет снизить добычу?	0
1133	"Новый пакет санкций, на который ""нам"" (на самом деле только депутатам) наср*ть..."	0
1145	[id50531801|Pevuca], такими темпами он скоро нахyй никому не нужен будет	0
1228	[id114773687|Александръ], ты на полном серьезе считаешь нормой то , что в ядерной сверхдержаве минималка меньше чем в обоccaнной Украине и санкции не причем?	1
1243	Ипанутые, прости господи Признавать их своими, чтобы официально ввести туда войска Итак в жопе сидим, из-за санкций и мёртвой экономики, давайте вообще по миру пойдем Госдуре заниматься больше нечем, проблем в стране нет, самое время их ещё вагон подкинуть	1
1245	Украинцы сами себе в ногу выстрелили. Кулеба, Зеленский, Данилов прямым текстом сказали, что в том виде, в каком принят Минск-2, он выполнятся со стороны Украины не будет. Ну и че тогда с вами дураками делать? Не хотите выполнять что сами подписали - останетесь без Донбасса.  А доллар растёт не от санкций, а от всеобщей глобальной обстановке по всему миру. Умники, лять.	1
1257	[id15194789|Юрий], а зачем туда припи3дил Гиркин? Его отсутствие там не снизило бы количество жертв среди ополчения и мирных граждан?	0
1279	[id13834433|Ренат], xoxлобот	1
1349	[id13476681|Алексей], выглядит как бой г*вна и м*чи	0
1367	Я удивляюсь комментаторам, которые поведение этого долбoeба оправдывают. Чем вы лучше чеченцев, лол? Он точно также по-быдлятски поступил, тем более на какую-то старуху бедную налетел	1
1379	[id246098361|Артем], х.. ты угадал, помечтай	0
1422	на сск! откуда ты?..-ой! извините пожалуйста...!	1
1430	Он конечно муд@к, но сразу видно кто в России хозяева.	1
1483	С какого х вы стали наркотики от алкашки разделять? Алкоголь это старший брат героина. Он первый	0
1657	"[id604407503|Илья], пфф. Серьёзно? Ты в это веришь? Святой хороший народ и злой путин?  Это путин оставил в этом треде 90% комментариев - расистских?  Я каждый день тут читаю, десятки коментов, про ""тупых хахлов"", ""тупых пиндосов"", ""тупых либepaх"". Всё это лайкается, выводится в топы. И это не боты. Это обычный, среднестатистический, пустоголовый - обыватель. Так это даже не ватный, не поцреотический и не провластный паблик. Там вообще психушка на выезде.  Путина номер раз тут заменит путин номер два, путин номер три, путин номер четыре. Поплевал в запад, поругал геев, бах, рейтинг 80%.  Я неправду говорю?  В Канаде и Австралии, в Финляндии, Германии и Японии - никаких путиных невозможно впринципе."	0
1677	"[id604957737|Бенедикт], ты чтоль белый, шалупьё снгшное?)  На твой свинячий вой из жoпы мира вообще всем поcpать)  С чего ты взял, что это ""фильм - для белых людей""? Кто, и когда, и кому это обещал? Голоса в твоей больной голове?"	1
1702	[id612539258|Markus], офигенно же,у них неск национальных видов спорта с высочайшими рейтингами, а что есть у русни? Метание коровьего говна на дальность и приседание на бутылку? Позорище ипаное,еще подобие страны из себя корчит	1
1704	[id27852722|Дима], в Америке называется.  Остальному миру поxyй на это	0
1723	Странно, что ВК не вставил свою йобануйу рекламу в эту рекламу	0
1765	Мляяяя, фильмы то шикарные снимал, жаль мужика	0
1794	Как же сейчас по%уй на этих фигуристок.  Блин, кремлеботы заклюют	0
1795	[id665269165|Сергей], настолько по%уй, что не можешь молчать	0
1798	[id665269165|Сергей], было бы по%уй ты бы не писал здесь свой высер	1
1800	"[id620468267|Алиса], ему ""по%уй"" на фигуристок, а на, что ему на них ""по%уй"" ему не ""по%уй"" - вот и не молчит. (-:"	0
1832	[id5025046|Михаил], я не вкурсе,  но у неё фляга свистит уже давно.  Так что не удивлён,  если она что-то пиzданула	1
1848	"[id215862086|Валентин], насчет пункта с: пока не доказано - поeбaть, что сказано. Все честно. А пункты a и b точно на ее возраст ссылаются? Что вообще термин ""protected person"" значит?"	0
1884	Сколько yeбaнoв ??в комментах) Конченные люди.	1
2020	вы просто дeбuлы	1
2021	дeбuлы, не устану троллить дeбuл0в??	1
2024	Oxyительно устроились,не жизнь а сказка ,когда сказочный дед родственник	0
2068	[id461498232|Андрей], у них там кто просить может? У тамошних террористов мнение меняется от настроения Кремля. Они там дешёвые пpoститyтки захватившие власть	1
2085	Главное что активные инициаторы в больницу слегли.?????? Опять всех нае...ли.??	0
2098	[id620419423|Эдуард], кули вас спрашивать, даененок заднеприводный?	1
2123	[id131887586|Антон], епал я в рот и зад и твою уксраину и таких хохлов как ты!	1
2141	[id685229480|Владимир], Ну и шо из этого . Тебя в очередной раз от.имели .	1
2148	"Проиграет что ? С..ка , газпромовский е..ный ""дождь"" , я вот честно, больших пиарщиков питуна не видел еще . Все эти соловьикисели сосут у вас стоя . Что может проиграть запад володе ?"	1
2157	[id349676717|Alexey], ну, вашего жидо-персидского говна везде полно. Просто при фашизме жидо-педерастов ФСБ ваш сраный выводок гадящего всегда и везде беспородного быдла распирать начало. Как будто дрожжи кинули в дерьмо, как пел еврейский певец и композитор Трофимов про убл)юдчную элитку вашего сброда помойных отбросов в парше и в погонах ФСБ в своей песне Аристократия помойки.	1
2162	[id51947755|Михаил], так и из сраной жидо-ч)урки в погонах генерала армии Шойгу такая же. Но другой у гэбэшно-еврейских выродков нет, все такие.	1
2177	"[id51947755|Михаил], она в основном вся будет на белорусской мове , нам ""бульбабиндерам"" , такое даже в школах преподавали в 90 -х , но потом опомнились . Читайте карамурзу лучше , там ""истина"". Дело просто в том , что система ""русский"" , она уже 30 лет как про..бала, а это все рефлексия?????"	1
2202	[id131887586|Антон], гэбэшно-еврейская ч)урка, не скулите и не флудите. Нация помойного сучья	1
2207	"[id573289077|Логунов], на вот тебе на чисто русском языке из ""русского"" города киева: путин - xyuлo ))"	1
2216	[id461498232|Андрей], пусть не обижается но он ***ло	1
2221	война будет, боты=дeбuлы говорят)	1
2243	[id33838395|Артём], а ,товарищ куйло ,зачем вы своего наставника прислали.	1
2261	Шaлaвa нeдoбитaя.	1
2283	А скоро и Aнaльнoмy добавят.	1
2356	[id560950223|Andrey], ? Соросенок??? ???????? Это что-то новое. Значить ещё не научился писать. ??????? Ладно, пшел н@х@й отсюда, псина безмозглая..	1
2360	[id560950223|Andrey], или это в России такая традиция??? Когда пиzdдец экономике и внутри страны проблем выше крыши, проще завязать войнушку, а потом все списать на нее???	0
2366	[id303201232|Андрей], для такого пидopa как ты это хорошие новости	1
2371	[id159211105|Салават], как и все к чему он имеет отношение, все превращает в грязь сук@.	1
2372	Вот же ж су.....и!	1
2373	Как всю эту мpaзь корёжит от побед наших спортсменов! На любую подлость готовы идти??	1
2392	...какие,биллат,обидчивые..)	0
2436	[id76298560|Максим], Если ты в ж.опе то сиди там молча а других не надо .	0
2464	[id201979830|Анастасия], это с вами пи*р*сами все ясно!	1
2511	[id303201232|Андрей], он не госслужащий чтоб перед тобой отчитываться! А вот твои хозяева из моих налогов клюют, ху.и ты их не спрашиваешь на что они себе дворцы отгрохали!?????	0
2514	"""потребовала""!Пи...да какая ""требовалку"" пора унять и помнить ,что ты жена зека террориста склонного к побегу!"	1
2538	[id105502652|Илья], 15 будет суд над плешивым Навальным. Суд будет открытым. Даже его жена-проститутка хочет поторговать там еbaloм	1
2552	А Aнaльный по прежнему любит свою паству..Преимущественно их кошельки..	1
2622	[id115521448|Vadym], дак у Пу же боты, и там танцы с бубнон были, ты что, солосья не смотрел)))Там все четко, ясно понятно рассказано!Б.лять, с какими дегенератами я общаюсь	1
2642	[id461498232|Андрей], беру свои слова назад, ты конченый е.ба.нат!	1
2654	Главная цель не величие страны,не достойная жизнь,а быть пpocтитykoй в натах...	0
2660	"Если Грузия и Украина не вступят в НАТО ,то рано или поздно рашка всё равно нападёт, с ХУ""ЛОМ или без ХУ""ЛА."	1
2679	Лень, просто иди на.ку.й!	1
2759	[id597302285|Сергей], с головой дружишь, вояка, бл...?	1
2775	[id138280294|Антон], естественно, поэтому рф должна вывести свои войска из украины,не надо врать вaта	1
2778	[id138280294|Антон], ну вот опять вaтная ложь,против россиюшки же пакет санкций новый готовят	0
2780	[id138280294|Антон], поэтому бидон усиливает части НАТО в ЕС?поставляет оружие украине?че то твое вaтное вранье и маняфантазии не вяжутся с реальностью Так что не удивлюсь югославскому решению проблем на бомбасе и стремительный забег сепаров до ростова	1
2781	[id138280294|Антон], опять вранье,вaта сама придумала,сама и поверила, хватит врать	1
2782	[id138280294|Антон], почему тебя смущает вaта бесполетная зона?рф же будет с авиаударов атаковать,естественно про сработают,важно что бы рф не прикрылась гражданскими бортами	1
2784	Ух ты бл... Да тут в комментах уже боевые действия начались! Подождите... Я за попкорном сбегаю...	0
2801	[id688989552|Виктор], сёстры - проститутки ) опять вы вместе ?) эту х@йню вам соловьёв вовка вещает ?)))	1
2816	"На ""Сильмариллион"" замахнулись? Вот cyки! ??"	1
2839	[id634558825|Александр], да не ссы и остальным расскажи.,что хохлы на.. й никому не нужны.	1
2876	[id609119487|Владимир], вот и вали брать Киев, герой подполья, а не дро чи, семя на пол не роняй.	1
2877	[id658179580|Сергей], ты-дoлбoёб...	1
2891	[id10420513|Сергей], не волнуйся,ибaть тебя найдутся извращенцы...	1
2903	Пиндосы  высосали вторжение из х..,а хохлы  теперь вместе со своими союзниками бегут из страны,все идёт по плану.	1
